reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rax,legit_b,0x12bb,"lea 0xd4a(%rip),%rax",legit_b,0x12c2,"mov %rax,%rdi",No,OK,,local,-
rsp,legit_b,0x12b7,push %rbp,legit_b,0x12cb,pop %rbp,No,OK,,local,-
rsp,legit_b,0x12b7,push %rbp,legit_b,0x12cc,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,legit_c,0x12d1,push %rbp,No,OK,,unknown,-
rsp,legit_c,0x12d1,push %rbp,legit_c,0x12d2,"mov %rsp,%rbp",No,OK,,local,-
rax,legit_c,0x12d5,"lea 0xd3c(%rip),%rax",legit_c,0x12dc,"mov %rax,%rdi",No,OK,,local,-
rsp,legit_c,0x12d1,push %rbp,legit_c,0x12e5,pop %rbp,No,OK,,local,-
rsp,legit_c,0x12d1,push %rbp,legit_c,0x12e6,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,legit_calc,0x12eb,push %rbp,No,OK,,unknown,-
rsp,legit_calc,0x12eb,push %rbp,legit_calc,0x12ec,"mov %rsp,%rbp",No,OK,,local,-
rdi,legit_calc,0x0,<param:rdi>,legit_calc,0x12ef,"mov %edi,-0x4(%rbp)",No,OK,,parameter,-
rbp,legit_calc,0x12ec,"mov %rsp,%rbp",legit_calc,0x12ef,"mov %edi,-0x4(%rbp)",No,OK,,local,-
rbp,legit_calc,0x12ec,"mov %rsp,%rbp",legit_calc,0x12f2,"mov -0x4(%rbp),%eax",No,OK,,local,-
rax,legit_calc,0x12f2,"mov -0x4(%rbp),%eax",legit_calc,0x12f5,"add $0x1,%eax",No,OK,,local,-
rsp,legit_calc,0x12eb,push %rbp,legit_calc,0x12f8,pop %rbp,No,OK,,local,-
rsp,legit_calc,0x12eb,push %rbp,legit_calc,0x12f9,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,evil_x,0x12fe,push %rbp,No,OK,,unknown,-
rsp,evil_x,0x12fe,push %rbp,evil_x,0x12ff,"mov %rsp,%rbp",No,OK,,local,-
rax,evil_x,0x1302,"lea 0xd1f(%rip),%rax",evil_x,0x1309,"mov %rax,%rdi",No,OK,,local,-
rsp,evil_x,0x12fe,push %rbp,evil_x,0x1312,pop %rbp,No,OK,,local,-
rsp,evil_x,0x12fe,push %rbp,evil_x,0x1313,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,evil_y,0x1318,push %rbp,No,OK,,unknown,-
rsp,evil_y,0x1318,push %rbp,evil_y,0x1319,"mov %rsp,%rbp",No,OK,,local,-
rax,evil_y,0x131c,"lea 0xd2d(%rip),%rax",evil_y,0x1323,"mov %rax,%rdi",No,OK,,local,-
rsp,evil_y,0x1318,push %rbp,evil_y,0x132c,pop %rbp,No,OK,,local,-
rsp,evil_y,0x1318,push %rbp,evil_y,0x132d,ret,No,OK,,local,ret
rbp,<unknown>,0x0,undefined source for rbp,a01_setup,0x1332,push %rbp,No,OK,,unknown,-
rsp,a01_setup,0x1332,push %rbp,a01_setup,0x1333,"mov %rsp,%rbp",No,OK,,local,-
rax,a01_setup,0x1336,"mov 0x2c73(%rip),%rax",a01_setup,0x133d,"mov %rax,0x2d44(%rip)",No,OK,,local,-
rsp,a01_setup,0x1332,push %rbp,a01_setup,0x1345,pop %rbp,No,OK,,local,-
rsp,a01_setup,0x1332,push %rbp,a01_setup,0x1346,ret,No,OK,,local,ret
