function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
register_tm_clones,0x1232,je 1248 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1234,"mov 0x2d95(%rip),%rax",-,rax,No,No,No,-,none,OK,none
register_tm_clones,0x123b,"test %rax,%rax",rax,-,No,No,No,-,none,OK,none
register_tm_clones,0x123e,je 1248 <register_tm_clones+0x38>,-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1240,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1234; indirect jump reg_based target rax L2: terminal (param) at register_tm_clones
register_tm_clones,0x1242,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1248,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
register_tm_clones,0x1249,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1250,endbr64,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1254,"cmpb $0x0,0x2e15(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x125b,jne 1288 <__do_global_dtors_aux+0x38>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x125d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x125e,"cmpq $0x0,0x2d7a(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1266,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1269,je 1277 <__do_global_dtors_aux+0x27>,-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x126b,"mov 0x2df6(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1272,call 1100 <__cxa_finalize@plt>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1277,call 11e0 <deregister_tm_clones>,-,rax,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x127c,"movb $0x1,0x2ded(%rip)",-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1283,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1284,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x1285,nopl (%rax),-,-,No,No,No,-,none,OK,none
__do_global_dtors_aux,0x1288,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
__do_global_dtors_aux,0x1289,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
frame_dummy,0x1290,endbr64,-,-,No,No,No,-,none,OK,none
frame_dummy,0x1294,jmp 1210 <register_tm_clones>,-,-,No,No,No,-,none,OK,none
legit_a,0x1299,endbr64,-,-,No,No,No,-,none,OK,none
legit_a,0x129d,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
legit_a,0x129e,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
legit_a,0x12a1,"lea 0xd58(%rip),%rax",-,rax,No,No,No,-,none,OK,none
legit_a,0x12a8,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
legit_a,0x12ab,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
legit_a,0x12b0,nop,-,-,No,No,No,-,none,OK,none
legit_a,0x12b1,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
legit_a,0x12b2,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
legit_b,0x12b3,endbr64,-,-,No,No,No,-,none,OK,none
legit_b,0x12b7,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
legit_b,0x12b8,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
legit_b,0x12bb,"lea 0xd4a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
legit_b,0x12c2,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
legit_b,0x12c5,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
legit_b,0x12ca,nop,-,-,No,No,No,-,none,OK,none
legit_b,0x12cb,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
legit_b,0x12cc,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
legit_c,0x12cd,endbr64,-,-,No,No,No,-,none,OK,none
legit_c,0x12d1,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
legit_c,0x12d2,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
legit_c,0x12d5,"lea 0xd3c(%rip),%rax",-,rax,No,No,No,-,none,OK,none
legit_c,0x12dc,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
legit_c,0x12df,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
legit_c,0x12e4,nop,-,-,No,No,No,-,none,OK,none
legit_c,0x12e5,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
legit_c,0x12e6,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
legit_calc,0x12e7,endbr64,-,-,No,No,No,-,none,OK,none
legit_calc,0x12eb,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
legit_calc,0x12ec,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
legit_calc,0x12ef,"mov %edi,-0x4(%rbp)","rdi,rbp",-,No,No,No,-,none,OK,none
legit_calc,0x12f2,"mov -0x4(%rbp),%eax",rbp,rax,No,No,No,-,none,OK,none
legit_calc,0x12f5,"add $0x1,%eax",rax,rax,No,No,No,-,none,OK,none
legit_calc,0x12f8,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
legit_calc,0x12f9,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
evil_x,0x12fa,endbr64,-,-,No,No,No,-,none,OK,none
evil_x,0x12fe,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
evil_x,0x12ff,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
evil_x,0x1302,"lea 0xd1f(%rip),%rax",-,rax,No,No,No,-,none,OK,none
evil_x,0x1309,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
evil_x,0x130c,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
evil_x,0x1311,nop,-,-,No,No,No,-,none,OK,none
evil_x,0x1312,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
evil_x,0x1313,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
evil_y,0x1314,endbr64,-,-,No,No,No,-,none,OK,none
evil_y,0x1318,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
evil_y,0x1319,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
evil_y,0x131c,"lea 0xd2d(%rip),%rax",-,rax,No,No,No,-,none,OK,none
evil_y,0x1323,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
evil_y,0x1326,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
evil_y,0x132b,nop,-,-,No,No,No,-,none,OK,none
evil_y,0x132c,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
evil_y,0x132d,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
a01_setup,0x132e,endbr64,-,-,No,No,No,-,none,OK,none
a01_setup,0x1332,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
a01_setup,0x1333,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
a01_setup,0x1336,"mov 0x2c73(%rip),%rax",-,rax,No,No,No,-,none,OK,none
a01_setup,0x133d,"mov %rax,0x2d44(%rip)",rax,-,No,No,No,-,none,OK,none
a01_setup,0x1344,nop,-,-,No,No,No,-,none,OK,none
a01_setup,0x1345,pop %rbp,rsp,rbp,No,No,No,-,none,OK,none
a01_setup,0x1346,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
attack_01,0x1347,endbr64,-,-,No,No,No,-,none,OK,none
attack_01,0x134b,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
attack_01,0x134c,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
attack_01,0x134f,"sub $0x10,%rsp",rsp,rsp,No,No,No,-,none,OK,none
attack_01,0x1353,"lea 0xd1b(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_01,0x135a,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
attack_01,0x135d,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
attack_01,0x1362,call 132e <a01_setup>,-,rax,No,No,No,-,none,OK,none
attack_01,0x1367,"mov 0x2d1a(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_01,0x136e,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_01,0x1372,"mov 0x2d08(%rip),%eax",-,rax,No,No,No,-,none,OK,none
attack_01,0x1378,"cmp $0x1,%eax",rax,-,No,No,No,-,none,OK,none
attack_01,0x137b,jne 1388 <attack_01+0x41>,-,-,No,No,No,-,none,OK,none
attack_01,0x137d,"mov 0x2c34(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_01,0x1384,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_01,0x1388,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_01,0x138c,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x1388; indirect call reg_based target rax L2: defined at 0x137d; indirect call reg_based target rax L3: terminal (param) at attack_01
attack_01,0x138e,nop,-,-,No,No,No,-,none,OK,none
attack_01,0x138f,leave,rbp,"rsp,rbp",No,No,No,-,none,OK,none
attack_01,0x1390,ret,rsp,rsp,No,Yes,Yes,ret,high,OK,none
attack_02,0x1391,endbr64,-,-,No,No,No,-,none,OK,none
attack_02,0x1395,push %rbp,rbp,rsp,No,No,No,-,none,OK,none
attack_02,0x1396,"mov %rsp,%rbp",rsp,rbp,No,No,No,-,none,OK,none
attack_02,0x1399,"sub $0x20,%rsp",rsp,rsp,No,No,No,-,none,OK,none
attack_02,0x139d,"mov %fs:0x28,%rax",-,rax,No,No,No,-,none,OK,none
attack_02,0x13a4,00,-,-,No,No,No,-,none,OK,none
attack_02,0x13a6,"mov %rax,-0x8(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_02,0x13aa,"xor %eax,%eax",rax,rax,No,No,No,-,none,OK,none
attack_02,0x13ac,"lea 0xcd9(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_02,0x13b3,"mov %rax,%rdi",rax,rdi,No,No,No,-,none,OK,none
attack_02,0x13b6,call 1120 <puts@plt>,-,rax,No,No,No,-,none,OK,none
attack_02,0x13bb,"mov 0x2c06(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_02,0x13c2,"mov %rax,-0x20(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_02,0x13c6,"lea -0x20(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_02,0x13ca,"mov %rax,-0x18(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_02,0x13ce,"mov 0x2cac(%rip),%eax",-,rax,No,No,No,-,none,OK,none
attack_02,0x13d4,"cmp $0x1,%eax",rax,-,No,No,No,-,none,OK,none
attack_02,0x13d7,jne 13e4 <attack_02+0x53>,-,-,No,No,No,-,none,OK,none
attack_02,0x13d9,"mov 0x2bf8(%rip),%rax",-,rax,No,No,No,-,none,OK,none
attack_02,0x13e0,"mov %rax,-0x20(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_02,0x13e4,"mov -0x18(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_02,0x13e8,"mov (%rax),%rax",rax,rax,No,No,No,-,none,OK,none
attack_02,0x13eb,"mov %rax,-0x10(%rbp)","rax,rbp",-,No,No,No,-,none,OK,none
attack_02,0x13ef,"mov -0x10(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_02,0x13f3,call *%rax,rax,rax,Yes,No,No,reg_based,high,WARNING,indirect call reg_based target rax L1: defined at 0x13ef; indirect call reg_based target rax L2: defined at 0x13e8; indirect call reg_based target rax L3: defined at 0x13e4; indirect call reg_based target rax L4: defined at 0x13c6; indirect call reg_based target rax L5: defined at 0x13bb; indirect call reg_based target rax L6: terminal (param) at attack_02
attack_02,0x13f5,nop,-,-,No,No,No,-,none,OK,none
attack_02,0x13f6,"mov -0x8(%rbp),%rax",rbp,rax,No,No,No,-,none,OK,none
attack_02,0x13fa,"sub %fs:0x28,%rax",rax,rax,No,No,No,-,none,OK,none
