function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
.plt,0x213e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2140,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2144,push $0x11,-,rsp,No,No,No,-,none,OK,none
.plt,0x2149,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x214e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2150,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2154,push $0x12,-,rsp,No,No,No,-,none,OK,none
.plt,0x2159,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x215e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2160,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2164,push $0x13,-,rsp,No,No,No,-,none,OK,none
.plt,0x2169,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x216e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2170,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2174,push $0x14,-,rsp,No,No,No,-,none,OK,none
.plt,0x2179,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x217e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2180,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2184,push $0x15,-,rsp,No,No,No,-,none,OK,none
.plt,0x2189,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x218e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2190,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2194,push $0x16,-,rsp,No,No,No,-,none,OK,none
.plt,0x2199,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x219e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21a0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21a4,push $0x17,-,rsp,No,No,No,-,none,OK,none
.plt,0x21a9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21ae,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21b0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21b4,push $0x18,-,rsp,No,No,No,-,none,OK,none
.plt,0x21b9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21be,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21c0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21c4,push $0x19,-,rsp,No,No,No,-,none,OK,none
.plt,0x21c9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21ce,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21d0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21d4,push $0x1a,-,rsp,No,No,No,-,none,OK,none
.plt,0x21d9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21de,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21e0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21e4,push $0x1b,-,rsp,No,No,No,-,none,OK,none
.plt,0x21e9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21ee,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x21f0,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x21f4,push $0x1c,-,rsp,No,No,No,-,none,OK,none
.plt,0x21f9,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x21fe,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2200,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2204,push $0x1d,-,rsp,No,No,No,-,none,OK,none
.plt,0x2209,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x220e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
.plt,0x2210,endbr64,-,-,No,No,No,-,none,OK,none
.plt,0x2214,push $0x1e,-,rsp,No,No,No,-,none,OK,none
.plt,0x2219,jmp 2020 <_init+0x20>,-,-,No,No,No,-,none,OK,none
.plt,0x221e,"xchg %ax,%ax",rax,rax,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x2220,endbr64,-,-,No,No,No,-,none,OK,none
__cxa_finalize@plt,0x2224,jmp *0x2db6(%rip),-,-,No,Yes,No,got_based,low,OK,none
__cxa_finalize@plt,0x222a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test15_double_ptr@plt,0x2230,endbr64,-,-,No,No,No,-,none,OK,none
test15_double_ptr@plt,0x2234,jmp *0x2dc6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test15_double_ptr@plt,0x223a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
free@plt,0x2240,endbr64,-,-,No,No,No,-,none,OK,none
free@plt,0x2244,jmp *0x2dbe(%rip),-,-,No,Yes,No,got_based,low,OK,none
free@plt,0x224a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test06_callback@plt,0x2250,endbr64,-,-,No,No,No,-,none,OK,none
test06_callback@plt,0x2254,jmp *0x2db6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test06_callback@plt,0x225a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
puts@plt,0x2260,endbr64,-,-,No,No,No,-,none,OK,none
puts@plt,0x2264,jmp *0x2dae(%rip),-,-,No,Yes,No,got_based,low,OK,none
puts@plt,0x226a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test11_conditional@plt,0x2270,endbr64,-,-,No,No,No,-,none,OK,none
test11_conditional@plt,0x2274,jmp *0x2da6(%rip),-,-,No,Yes,No,got_based,low,OK,none
test11_conditional@plt,0x227a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test08_with_retval@plt,0x2280,endbr64,-,-,No,No,No,-,none,OK,none
test08_with_retval@plt,0x2284,jmp *0x2d9e(%rip),-,-,No,Yes,No,got_based,low,OK,none
test08_with_retval@plt,0x228a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
__stack_chk_fail@plt,0x2290,endbr64,-,-,No,No,No,-,none,OK,none
__stack_chk_fail@plt,0x2294,jmp *0x2d96(%rip),-,-,No,Yes,No,got_based,low,OK,none
__stack_chk_fail@plt,0x229a,"nopw 0x0(%rax,%rax,1)",-,-,No,No,No,-,none,OK,none
test13_lea_target@plt,0x22a0,endbr64,-,-,No,No,No,-,none,OK,none
test13_lea_target@plt,0x22a4,jmp *0x2d8e(%rip),-,-,No,Yes,No,got_based,low,OK,none
