reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rax,test_indirect_jump,0x11e8,"mov -0x14(%rbp),%eax",test_indirect_jump,0x11eb,"mov %eax,%esi",No,OK,,local,-
rax,test_indirect_jump,0x11ed,"lea 0xe50(%rip),%rax",test_indirect_jump,0x11f4,"mov %rax,%rdi",No,OK,,local,-
rax,test_indirect_jump,0x1201,"mov 0x2dd8(%rip),%rax",test_indirect_jump,0x1208,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x11de,"mov %rsp,%rbp",test_indirect_jump,0x1208,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x11de,"mov %rsp,%rbp",test_indirect_jump,0x120c,"cmpl $0x0,-0x14(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x11de,"mov %rsp,%rbp",test_indirect_jump,0x1212,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test_indirect_jump,0x1212,"mov -0x8(%rbp),%rax",test_indirect_jump,0x121b,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1212,local,reg_based
rbp,test_indirect_jump,0x11de,"mov %rsp,%rbp",test_indirect_jump,0x121e,leave,No,OK,,local,-
rax,test_indirect_jump,0x1201,"mov 0x2dd8(%rip),%rax",test_indirect_jump,0x121f,ret,No,OK,,local,-
rax,test_indirect_jump,0x121b,call *%rax,test_indirect_jump,0x121f,ret,No,OK,,synthetic,-
rbp,<unknown>,0x0,undefined source for rbp,test_ff_instructions,0x1224,push %rbp,No,OK,,unknown,-
rsp,test_ff_instructions,0x1224,push %rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",No,OK,,local,-
rsp,test_ff_instructions,0x1224,push %rbp,test_ff_instructions,0x1228,"sub $0x10,%rsp",No,OK,,local,-
rax,test_ff_instructions,0x122c,"lea 0xe28(%rip),%rax",test_ff_instructions,0x1233,"mov %rax,%rdi",No,OK,,local,-
rax,test_ff_instructions,0x123b,"mov 0x2d96(%rip),%rax",test_ff_instructions,0x1242,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",test_ff_instructions,0x1242,"mov %rax,-0x10(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",test_ff_instructions,0x1246,"mov -0x10(%rbp),%rax",No,OK,,local,-
rax,test_ff_instructions,0x1246,"mov -0x10(%rbp),%rax",test_ff_instructions,0x124a,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1246,local,reg_based
rax,test_ff_instructions,0x124c,"mov 0x2d8d(%rip),%rax",test_ff_instructions,0x1253,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",test_ff_instructions,0x1253,"mov %rax,-0x8(%rbp)",No,OK,,local,-
rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",test_ff_instructions,0x1257,"mov -0x8(%rbp),%rax",No,OK,,local,-
rax,test_ff_instructions,0x1257,"mov -0x8(%rbp),%rax",test_ff_instructions,0x1260,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1257,local,reg_based
rbp,test_ff_instructions,0x1225,"mov %rsp,%rbp",test_ff_instructions,0x1263,leave,No,OK,,local,-
rax,test_ff_instructions,0x1260,call *%rax,test_ff_instructions,0x1264,ret,No,OK,,synthetic,-
rbp,<unknown>,0x0,undefined source for rbp,test_all,0x1269,push %rbp,No,OK,,unknown,-
rsp,test_all,0x1269,push %rbp,test_all,0x126a,"mov %rsp,%rbp",No,OK,,local,-
rsp,test_all,0x1269,push %rbp,test_all,0x1287,pop %rbp,No,OK,,local,-
rax,test_all,0x1281,call 10c0 <test_ff_instructions@plt>,test_all,0x1288,ret,No,OK,,synthetic,-
rsp,<unknown>,0x0,undefined source for rsp,_fini,0x1290,"sub $0x8,%rsp",No,OK,,unknown,-
rsp,_fini,0x1290,"sub $0x8,%rsp",_fini,0x1294,"add $0x8,%rsp",No,OK,,local,-
rax,<unknown>,0x0,undefined source for rax,_fini,0x1298,ret,No,OK,,unknown,-
