reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rbp,main,0x1198,"addl $0x1,-0x4(%rbp)",main,0x1183,"mov -0x14(%rbp),%eax",No,OK,,local,-
rax,main,0x1183,"mov -0x14(%rbp),%eax",main,0x1186,"sub $0x1,%eax",No,OK,,local,-
rax,main,0x1186,"sub $0x1,%eax",main,0x1189,"cmp %eax,-0x4(%rbp)",No,OK,,local,-
rbp,main,0x113e,"mov %rsp,%rbp",main,0x1189,"cmp %eax,-0x4(%rbp)",No,OK,,local,-
rbp,main,0x1198,"addl $0x1,-0x4(%rbp)",main,0x1189,"cmp %eax,-0x4(%rbp)",No,OK,,local,-
rbp,main,0x113e,"mov %rsp,%rbp",main,0x119c,"mov -0x4(%rbp),%eax",No,OK,,local,-
rbp,main,0x1198,"addl $0x1,-0x4(%rbp)",main,0x119c,"mov -0x4(%rbp),%eax",No,OK,,local,-
rbp,main,0x113e,"mov %rsp,%rbp",main,0x119f,"cmp -0x14(%rbp),%eax",No,OK,,local,-
rbp,main,0x1198,"addl $0x1,-0x4(%rbp)",main,0x119f,"cmp -0x14(%rbp),%eax",No,OK,,local,-
rax,main,0x119c,"mov -0x4(%rbp),%eax",main,0x119f,"cmp -0x14(%rbp),%eax",No,OK,,local,-
rbp,main,0x113e,"mov %rsp,%rbp",main,0x11a9,leave,No,OK,,local,-
rbp,main,0x1198,"addl $0x1,-0x4(%rbp)",main,0x11a9,leave,No,OK,,local,-
rsp,main,0x11a9,leave,main,0x11aa,ret,No,OK,,local,ret
rsp,<unknown>,0x0,undefined source for rsp,_fini,0x11b0,"sub $0x8,%rsp",No,OK,,unknown,-
rsp,_fini,0x11b0,"sub $0x8,%rsp",_fini,0x11b4,"add $0x8,%rsp",No,OK,,local,-
rsp,_fini,0x11b4,"add $0x8,%rsp",_fini,0x11b8,ret,No,OK,,local,ret
