reg,def_func,def_addr,def_instr,use_func,use_addr,use_instr,cross_func,dfi_violation,violation_reason,def_source,indirect_type
rsp,test_returns,0x11dd,push %rbp,test_returns,0x11f2,ret,No,OK,ret target rsp L1: defined at 0x11dd (push %rbp),local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_returns,0x11f2,ret,Yes,WARNING,ret target rbp L2: no local rsp definition,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,test_indirect_call,0x11f7,push %rbp,No,OK,,unknown,-
rsp,test_indirect_call,0x11f7,push %rbp,test_indirect_call,0x11f8,"mov %rsp,%rbp",No,OK,,local,-
rax,test_indirect_call,0x11fb,"lea 0xe1e(%rip),%rax",test_indirect_call,0x1202,"mov %rax,%rdi",No,OK,,local,-
rax,test_indirect_call,0x120a,"mov 0x2dc7(%rip),%rax",test_indirect_call,0x1211,"mov (%rax),%rax",No,OK,,local,-
rax,test_indirect_call,0x1211,"mov (%rax),%rax",test_indirect_call,0x1214,call *%rax,No,WARNING,indirect call reg_based target rax L1: defined at 0x1211,local,reg_based
rax,test_indirect_call,0x120a,"mov 0x2dc7(%rip),%rax",test_indirect_call,0x1214,call *%rax,No,WARNING,indirect call reg_based target rax L2: defined at 0x120a,local,reg_based
rsp,test_indirect_call,0x11f7,push %rbp,test_indirect_call,0x1217,pop %rbp,No,OK,,local,-
rsp,test_indirect_call,0x11f7,push %rbp,test_indirect_call,0x1218,ret,No,OK,ret target rsp L1: defined at 0x11f7 (push %rbp),local,ret
rbp,<unknown>,0x0,undefined source for rbp,test_indirect_call,0x1218,ret,Yes,WARNING,ret target rbp L2: no local rsp definition,unknown,ret
rbp,<unknown>,0x0,undefined source for rbp,test_indirect_jump,0x121d,push %rbp,No,OK,,unknown,-
rsp,test_indirect_jump,0x121d,push %rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",No,OK,,local,-
rsp,test_indirect_jump,0x121d,push %rbp,test_indirect_jump,0x1221,"sub $0x20,%rsp",No,OK,,local,-
rdi,test_indirect_jump,0x0,<param:rdi>,test_indirect_jump,0x1225,"mov %edi,-0x14(%rbp)",No,OK,,parameter,-
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x1225,"mov %edi,-0x14(%rbp)",No,OK,,local,-
rbp,test_indirect_jump,0x121e,"mov %rsp,%rbp",test_indirect_jump,0x1228,"mov -0x14(%rbp),%eax",No,OK,,local,-
rax,test_indirect_jump,0x1228,"mov -0x14(%rbp),%eax",test_indirect_jump,0x122b,"mov %eax,%esi",No,OK,,local,-
