function,address,instruction,src_regs(USE),dst_regs(DEF),indirect_call,indirect_jump,is_ret,indirect_type,indirect_severity,dfi_violation,violation_reason
deregister_tm_clones,0x113a,"test %rax,%rax",rax,eflags,No,No,No,-,none,OK,none
deregister_tm_clones,0x113d,je 1148 <deregister_tm_clones+0x28>,eflags,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x113f,jmp *%rax,rax,-,No,Yes,No,reg_based,high,WARNING,indirect jump reg_based target rax L1: defined at 0x1133; indirect jump reg_based target rax L2: defined at 0x1133; indirect jump reg_based target rax L3: defined at 0x1133
deregister_tm_clones,0x1141,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
deregister_tm_clones,0x1148,ret,rsp,rsp,No,Yes,Yes,ret,high,WARNING,ret target rsp L1: no local rsp definition
deregister_tm_clones,0x1149,nopl 0x0(%rax),-,-,No,No,No,-,none,OK,none
register_tm_clones,0x1150,"lea 0x2ee9(%rip),%rdi",-,rdi,No,No,No,-,none,OK,none
register_tm_clones,0x1157,"lea 0x2ee2(%rip),%rsi",-,rsi,No,No,No,-,none,OK,none
register_tm_clones,0x115e,"sub %rdi,%rsi","rdi,rsi","rsi,eflags",No,No,No,-,none,OK,none
register_tm_clones,0x1161,"mov %rsi,%rax",rsi,rax,No,No,No,-,none,OK,none
register_tm_clones,0x1164,"shr $0x3f,%rsi",rsi,"rsi,eflags",No,No,No,-,none,OK,none
register_tm_clones,0x1168,"sar $0x3,%rax",rax,"rax,eflags",No,No,No,-,none,OK,none
register_tm_clones,0x116c,"add %rax,%rsi","rax,rsi","rsi,eflags",No,No,No,-,none,OK,none
register_tm_clones,0x116f,"sar $1,%rsi",rsi,"rsi,eflags",No,No,No,-,none,OK,none
register_tm_clones,0x1172,je 1188 <register_tm_clones+0x38>,eflags,-,No,No,No,-,none,OK,none
register_tm_clones,0x1174,"mov 0x2e55(%rip),%rax",-,rax,No,No,No,-,none,OK,none
register_tm_clones,0x117b,"test %rax,%rax",rax,eflags,No,No,No,-,none,OK,none
register_tm_clones,0x117e,je 1188 <register_tm_clones+0x38>,eflags,-,No,No,No,-,none,OK,none
