event_id,timestamp_ns,pid,cpu,jump_type,jump_type_name,src_func,dst_func,src_instr,src_offset,src_func_addr,cfi_dst_addr,reg_rax,reg_rcx,reg_rdx,reg_rbx,reg_rsp,reg_rbp,reg_rsi,reg_rdi,ret_addr,saved_rax_val,saved_rsp_val,is_correct,call_stack_hash,ptr_origin
1,19238535428422,72213,18,3,RET,a01_setup,,ret,0x1346,0x0,0x0,0x78546c1fc299,0x0,0x1,0x0,0x78545dcfe838,0x78545dcfe850,0x78546c1fd075,0x78546ca05710,0x78546c1fc367,0x0,0x78546c1fc367,1,0x38a4416041f55733,0x0
2,19238535475527,72213,18,4,INDIRECT_CALL,attack_01,,call *%rax,0x138c,0x0,0x0,0x78546c1fc299,0x0,0x1,0x0,0x78545dcfe840,0x78545dcfe850,0x78546c1fd075,0x78546ca05710,0x0,0x0,0x0,0,0x38a4416041f55733,0x0
3,19238535483859,72213,18,3,RET,legit_a,,ret,0x12b2,0x0,0x0,0xc,0x0,0x1,0x0,0x78545dcfe838,0x78545dcfe850,0x5d415b203e2d2020,0x78546ca05710,0x78546c1fc38e,0x0,0x78546c1fc38e,1,0x2b0d78fa3a7a6e45,0x0
4,19238535487429,72213,18,3,RET,attack_01,,ret,0x1390,0x0,0x0,0xc,0x0,0x1,0x0,0x78545dcfe858,0x78545dcfe870,0x5d415b203e2d2020,0x78546ca05710,0x78546c1fc71e,0x0,0x78546c1fc71e,1,0x2b0d78fa3a7a6e45,0x0
5,19238535490818,72213,18,3,RET,run_safe,,ret,0x177e,0x0,0x0,0x1a,0x0,0x0,0x0,0x78545dcfe878,0x78545dcfe880,0x78546ca045c0,0x78545dcfe660,0x78546ca1eb16,0x0,0x78546ca1eb16,1,0x2b0d78fa3a7a6e45,0x0
