event_id,timestamp_ns,pid,cpu,jump_type,jump_type_name,src_func,dst_func,src_offset,src_func_addr,cfi_dst_addr,reg_rax,reg_rcx,reg_rdx,reg_rbx,reg_rsp,reg_rbp,reg_rsi,reg_rdi,ret_addr,saved_rax_val,saved_rsp_val,is_correct,call_stack_hash,ptr_origin
1,17445734833406,65468,12,3,RET,a01_setup,,0x1346,0x0,0x0,0x78c5721e0299,0x0,0x1,0x0,0x78c563cfe838,0x78c563cfe850,0x78c5721e1075,0x78c572c05710,0x78c5721e0367,0x0,0x78c5721e0367,1,0x5f25332393c4733,0x0
2,17445734846527,65468,12,4,INDIRECT_CALL,attack_01,,0x138c,0x0,0x0,0x78c5721e0299,0x0,0x1,0x0,0x78c563cfe840,0x78c563cfe850,0x78c5721e1075,0x78c572c05710,0x0,0x0,0x0,0,0x5f25332393c4733,0x0
3,17445734854851,65468,12,3,RET,legit_a,,0x12b2,0x0,0x0,0xc,0x0,0x1,0x0,0x78c563cfe838,0x78c563cfe850,0x5d415b203e2d2020,0x78c572c05710,0x78c5721e038e,0x0,0x78c5721e038e,1,0x76e74c85c0cdde45,0x0
4,17445734858643,65468,12,3,RET,attack_01,,0x1390,0x0,0x0,0xc,0x0,0x1,0x0,0x78c563cfe858,0x78c563cfe870,0x5d415b203e2d2020,0x78c572c05710,0x78c5721e071e,0x0,0x78c5721e071e,1,0x76e74c85c0cdde45,0x0
5,17445734862280,65468,12,3,RET,run_safe,,0x177e,0x0,0x0,0x1a,0x0,0x0,0x0,0x78c563cfe878,0x78c563cfe880,0x78c572c045c0,0x78c563cfe660,0x78c57261db16,0x0,0x78c57261db16,1,0x76e74c85c0cdde45,0x0
