event_id,timestamp_ns,pid,cpu,jump_type,jump_type_name,src_func,dst_func,src_offset,src_func_addr,cfi_dst_addr,reg_rax,reg_rcx,reg_rdx,reg_rbx,reg_rsp,reg_rbp,reg_rsi,reg_rdi,ret_addr,saved_rax_val,saved_rsp_val,is_correct,call_stack_hash,ptr_origin
1,17513437493796,65849,12,3,RET,a01_setup,,0x1346,0x0,0x0,0x760109bfc299,0x0,0x1,0x0,0x7600fb6fe838,0x7600fb6fe850,0x760109bfd075,0x76010a405710,0x760109bfc367,0x0,0x760109bfc367,1,0xb4ee27112ac9f733,0x0
2,17513437505655,65849,12,4,INDIRECT_CALL,attack_01,,0x138c,0x0,0x0,0x760109bfc299,0x0,0x1,0x0,0x7600fb6fe840,0x7600fb6fe850,0x760109bfd075,0x76010a405710,0x0,0x0,0x0,0,0xb4ee27112ac9f733,0x0
3,17513437513402,65849,12,3,RET,legit_a,,0x12b2,0x0,0x0,0xc,0x0,0x1,0x0,0x7600fb6fe838,0x7600fb6fe850,0x5d415b203e2d2020,0x76010a405710,0x760109bfc38e,0x0,0x760109bfc38e,1,0x2c723d51e5c28e45,0x0
4,17513437516926,65849,12,3,RET,attack_01,,0x1390,0x0,0x0,0xc,0x0,0x1,0x0,0x7600fb6fe858,0x7600fb6fe870,0x5d415b203e2d2020,0x76010a405710,0x760109bfc71e,0x0,0x760109bfc71e,1,0x2c723d51e5c28e45,0x0
5,17513437520395,65849,12,3,RET,run_safe,,0x177e,0x0,0x0,0x1a,0x0,0x0,0x0,0x7600fb6fe878,0x7600fb6fe880,0x76010a4045c0,0x7600fb6fe660,0x760109fd8b16,0x0,0x760109fd8b16,1,0x2c723d51e5c28e45,0x0
