event_id,timestamp_ns,pid,cpu,jump_type,jump_type_name,src_func,dst_func,src_offset,src_func_addr,cfi_dst_addr,reg_rax,reg_rcx,reg_rdx,reg_rbx,reg_rsp,reg_rbp,reg_rsi,reg_rdi,ret_addr,saved_rax_val,saved_rsp_val,is_correct,call_stack_hash,ptr_origin
1,18204369770301,68364,10,3,RET,a01_setup,,0x1346,0x0,0x0,0x7aeffe3ed299,0x0,0x1,0x0,0x7aefefefe838,0x7aefefefe850,0x7aeffe3ee075,0x7aeffee05710,0x7aeffe3ed367,0x0,0x7aeffe3ed367,1,0x17df9c6231c3733,0x0
2,18204369806482,68364,10,4,INDIRECT_CALL,attack_01,,0x138c,0x0,0x0,0x7aeffe3ed299,0x0,0x1,0x0,0x7aefefefe840,0x7aefefefe850,0x7aeffe3ee075,0x7aeffee05710,0x0,0x0,0x0,0,0x17df9c6231c3733,0x0
3,18204369813671,68364,10,3,RET,legit_a,,0x12b2,0x0,0x0,0xc,0x0,0x1,0x0,0x7aefefefe838,0x7aefefefe850,0x5d415b203e2d2020,0x7aeffee05710,0x7aeffe3ed38e,0x0,0x7aeffe3ed38e,1,0x82e709e63047de45,0x0
4,18204369816890,68364,10,3,RET,attack_01,,0x1390,0x0,0x0,0xc,0x0,0x1,0x0,0x7aefefefe858,0x7aefefefe870,0x5d415b203e2d2020,0x7aeffee05710,0x7aeffe3ed71e,0x0,0x7aeffe3ed71e,1,0x82e709e63047de45,0x0
5,18204369820435,68364,10,3,RET,run_safe,,0x177e,0x0,0x0,0x1a,0x0,0x0,0x0,0x7aefefefe878,0x7aefefefe880,0x7aeffee045c0,0x7aefefefe660,0x7aeffee1eb16,0x0,0x7aeffee1eb16,1,0x82e709e63047de45,0x0
